Identifier,disp,nodisp
1-1,12.556,N/A
1-2,12.556,N/A
1-3,12.556,N/A
1-4,12.556,N/A
1-5,12.556,N/A
1-6,12.556,N/A
1-7,12.556,N/A
1-8,12.556,N/A
1-9,12.556,N/A
1-10,15.328,N/A
2-1,21.686,N/A
2-3,21.686,N/A
2-4,21.686,N/A
2-5,21.686,N/A
2-6,21.686,N/A
2-8,21.686,N/A
2-9,21.686,N/A
2-10,21.686,N/A
3-2,12.056,N/A
3-3,12.056,N/A
3-4,12.056,N/A
3-5,12.056,N/A
3-6,12.056,N/A
3-7,12.056,N/A
3-8,12.056,N/A
3-9,12.056,N/A
3-10,12.056,N/A
4-1,5.96,N/A
4-3,5.96,N/A
4-4,5.96,N/A
4-5,5.96,N/A
4-6,5.96,N/A
4-7,5.96,N/A
4-8,6.172,N/A
4-9,5.96,N/A
4-10,5.96,N/A
5-1,24.192,N/A
5-2,24.192,N/A
5-3,24.206,N/A
5-5,24.206,N/A
5-6,24.206,N/A
5-8,24.206,N/A
5-9,24.206,N/A
5-10,24.204,N/A
6-1,17.236,N/A
6-2,17.236,N/A
6-3,17.236,N/A
6-4,17.236,N/A
6-5,17.236,N/A
6-6,17.236,N/A
6-7,17.236,N/A
6-8,17.236,N/A
6-10,17.236,N/A
