Identifier,disp,nodisp
1-1,0.07826,N/A
1-2,0.075921,N/A
1-3,0.075967,N/A
1-4,0.06937,N/A
1-5,0.06583,N/A
1-6,0.075396,N/A
1-7,0.077282,N/A
1-8,0.069915,N/A
1-9,0.07661,N/A
1-10,0.097648,N/A
2-1,0.198016,N/A
2-3,0.200821,N/A
2-4,0.160924,N/A
2-5,0.191775,N/A
2-6,0.196424,N/A
2-8,0.165518,N/A
2-9,0.177396,N/A
2-10,0.19133,N/A
3-2,0.068215,N/A
3-3,0.079814,N/A
3-4,0.076511,N/A
3-5,0.076173,N/A
3-6,0.077252,N/A
3-7,0.077417,N/A
3-8,0.080013,N/A
3-9,0.07737,N/A
3-10,0.076182,N/A
4-1,0.04028,N/A
4-3,0.034511,N/A
4-4,0.041263,N/A
4-5,0.041027,N/A
4-6,0.040227,N/A
4-7,0.04046,N/A
4-8,0.042454,N/A
4-9,0.042476,N/A
4-10,0.040478,N/A
5-1,0.380968,N/A
5-2,0.391257,N/A
5-3,0.406858,N/A
5-5,0.398404,N/A
5-6,0.382387,N/A
5-8,0.397405,N/A
5-9,0.386098,N/A
5-10,0.371785,N/A
6-1,0.218348,N/A
6-2,0.216312,N/A
6-3,0.215125,N/A
6-4,0.203126,N/A
6-5,0.214761,N/A
6-6,0.201749,N/A
6-7,0.215391,N/A
6-8,0.210966,N/A
6-10,0.213627,N/A
