Identifier,disp,nodisp
1-1,4.9516,N/A
1-2,5.14844,N/A
1-3,5.07521,N/A
1-4,4.20148,N/A
1-5,3.55789,N/A
1-6,4.59957,N/A
1-7,4.92363,N/A
1-8,3.99114,N/A
1-9,4.9344,N/A
1-10,7.67378,N/A
2-1,14.0625,N/A
2-3,14.7596,N/A
2-4,13.2828,N/A
2-5,14.6992,N/A
2-6,14.7694,N/A
2-8,10.1505,N/A
2-9,11.9874,N/A
2-10,15.1755,N/A
3-2,4.93876,N/A
3-3,5.65892,N/A
3-4,5.16404,N/A
3-5,5.73806,N/A
3-6,5.70711,N/A
3-7,5.7173,N/A
3-8,5.60696,N/A
3-9,5.42849,N/A
3-10,5.73632,N/A
4-1,1.90044,N/A
4-3,1.43438,N/A
4-4,1.64897,N/A
4-5,1.8089,N/A
4-6,1.90006,N/A
4-7,1.88613,N/A
4-8,2.08658,N/A
4-9,1.79719,N/A
4-10,1.87749,N/A
5-1,20.0457,N/A
5-2,23.5815,N/A
5-3,23.6256,N/A
5-5,24.0735,N/A
5-6,20.4714,N/A
5-8,24.036,N/A
5-9,23.5433,N/A
5-10,20.4933,N/A
6-1,19.747,N/A
6-2,19.8746,N/A
6-3,20.0646,N/A
6-4,17.6038,N/A
6-5,20.0096,N/A
6-6,17.4415,N/A
6-7,19.7437,N/A
6-8,19.9388,N/A
6-10,19.8953,N/A
