Identifier,disp,nodisp
1-1,13762.0,N/A
1-2,13762.0,N/A
1-3,13762.0,N/A
1-4,13762.0,N/A
1-5,13762.0,N/A
1-6,13762.0,N/A
1-7,13762.0,N/A
1-8,13762.0,N/A
1-9,13762.0,N/A
1-10,16237.0,N/A
2-1,20507.0,N/A
2-3,20507.0,N/A
2-4,20507.0,N/A
2-5,20507.0,N/A
2-6,20507.0,N/A
2-8,20507.0,N/A
2-9,20507.0,N/A
2-10,20507.0,N/A
3-2,13034.0,N/A
3-3,13034.0,N/A
3-4,13034.0,N/A
3-5,13034.0,N/A
3-6,13034.0,N/A
3-7,13034.0,N/A
3-8,13034.0,N/A
3-9,13034.0,N/A
3-10,13034.0,N/A
4-1,10483.0,N/A
4-3,10483.0,N/A
4-4,10483.0,N/A
4-5,10483.0,N/A
4-6,10483.0,N/A
4-7,10483.0,N/A
4-8,10754.0,N/A
4-9,10483.0,N/A
4-10,10483.0,N/A
5-1,35441.0,N/A
5-2,35441.0,N/A
5-3,35457.0,N/A
5-5,35460.0,N/A
5-6,35460.0,N/A
5-8,35460.0,N/A
5-9,35460.0,N/A
5-10,35455.0,N/A
6-1,24007.0,N/A
6-2,24007.0,N/A
6-3,24007.0,N/A
6-4,24007.0,N/A
6-5,24007.0,N/A
6-6,24007.0,N/A
6-7,24007.0,N/A
6-8,24007.0,N/A
6-10,24007.0,N/A
