Identifier,disp,nodisp
1-1,712.0,N/A
1-2,712.0,N/A
1-3,712.0,N/A
1-4,712.0,N/A
1-5,712.0,N/A
1-6,712.0,N/A
1-7,712.0,N/A
1-8,712.0,N/A
1-9,712.0,N/A
1-10,1216.0,N/A
2-1,2432.0,N/A
2-3,2432.0,N/A
2-4,2432.0,N/A
2-5,2432.0,N/A
2-6,2432.0,N/A
2-8,2432.0,N/A
2-9,2432.0,N/A
2-10,2432.0,N/A
3-2,594.0,N/A
3-3,594.0,N/A
3-4,594.0,N/A
3-5,594.0,N/A
3-6,594.0,N/A
3-7,594.0,N/A
3-8,594.0,N/A
3-9,594.0,N/A
3-10,594.0,N/A
4-1,137.0,N/A
4-3,137.0,N/A
4-4,137.0,N/A
4-5,137.0,N/A
4-6,137.0,N/A
4-7,137.0,N/A
4-8,159.0,N/A
4-9,137.0,N/A
4-10,137.0,N/A
5-1,707.0,N/A
5-2,707.0,N/A
5-3,707.0,N/A
5-5,708.0,N/A
5-6,708.0,N/A
5-8,708.0,N/A
5-9,708.0,N/A
5-10,699.0,N/A
6-1,271.0,N/A
6-2,271.0,N/A
6-3,271.0,N/A
6-4,271.0,N/A
6-5,271.0,N/A
6-6,271.0,N/A
6-7,271.0,N/A
6-8,271.0,N/A
6-10,271.0,N/A
