Identifier,disp,nodisp
1-1,7108.0,N/A
1-2,7108.0,N/A
1-3,7108.0,N/A
1-4,7108.0,N/A
1-5,7108.0,N/A
1-6,7108.0,N/A
1-7,7108.0,N/A
1-8,7108.0,N/A
1-9,7108.0,N/A
1-10,6805.0,N/A
2-1,7792.0,N/A
2-3,7792.0,N/A
2-4,7792.0,N/A
2-5,7792.0,N/A
2-6,7792.0,N/A
2-8,7792.0,N/A
2-9,7792.0,N/A
2-10,7792.0,N/A
3-2,6991.0,N/A
3-3,6991.0,N/A
3-4,6991.0,N/A
3-5,6991.0,N/A
3-6,6991.0,N/A
3-7,6991.0,N/A
3-8,6991.0,N/A
3-9,6991.0,N/A
3-10,6991.0,N/A
4-1,609.0,N/A
4-3,609.0,N/A
4-4,609.0,N/A
4-5,609.0,N/A
4-6,609.0,N/A
4-7,609.0,N/A
4-8,630.0,N/A
4-9,609.0,N/A
4-10,609.0,N/A
5-1,1452.0,N/A
5-2,1452.0,N/A
5-3,1451.0,N/A
5-5,1451.0,N/A
5-6,1451.0,N/A
5-8,1451.0,N/A
5-9,1451.0,N/A
5-10,1456.0,N/A
6-1,702.0,N/A
6-2,702.0,N/A
6-3,702.0,N/A
6-4,702.0,N/A
6-5,702.0,N/A
6-6,702.0,N/A
6-7,702.0,N/A
6-8,702.0,N/A
6-10,702.0,N/A
