Identifier,disp,nodisp
1-1,15979.0,N/A
1-2,15979.0,N/A
1-3,15979.0,N/A
1-4,15979.0,N/A
1-5,15979.0,N/A
1-6,15979.0,N/A
1-7,15979.0,N/A
1-8,15979.0,N/A
1-9,15979.0,N/A
1-10,19662.0,N/A
2-1,26602.0,N/A
2-3,26602.0,N/A
2-4,26602.0,N/A
2-5,26602.0,N/A
2-6,26602.0,N/A
2-8,26602.0,N/A
2-9,26602.0,N/A
2-10,26602.0,N/A
3-2,15108.0,N/A
3-3,15108.0,N/A
3-4,15108.0,N/A
3-5,15108.0,N/A
3-6,15108.0,N/A
3-7,15108.0,N/A
3-8,15108.0,N/A
3-9,15108.0,N/A
3-10,15108.0,N/A
4-1,13429.0,N/A
4-3,13429.0,N/A
4-4,13429.0,N/A
4-5,13429.0,N/A
4-6,13429.0,N/A
4-7,13429.0,N/A
4-8,13764.0,N/A
4-9,13429.0,N/A
4-10,13429.0,N/A
5-1,46830.0,N/A
5-2,46830.0,N/A
5-3,46849.0,N/A
5-5,46849.0,N/A
5-6,46849.0,N/A
5-8,46849.0,N/A
5-9,46849.0,N/A
5-10,46837.0,N/A
6-1,35565.0,N/A
6-2,35565.0,N/A
6-3,35565.0,N/A
6-4,35565.0,N/A
6-5,35565.0,N/A
6-6,35565.0,N/A
6-7,35565.0,N/A
6-8,35565.0,N/A
6-10,35565.0,N/A
