Identifier,disp,nodisp
1-1,9324.0,N/A
1-2,9324.0,N/A
1-3,9324.0,N/A
1-4,9324.0,N/A
1-5,9324.0,N/A
1-6,9324.0,N/A
1-7,9324.0,N/A
1-8,9324.0,N/A
1-9,9324.0,N/A
1-10,10229.0,N/A
2-1,13863.0,N/A
2-3,13863.0,N/A
2-4,13863.0,N/A
2-5,13863.0,N/A
2-6,13863.0,N/A
2-8,13863.0,N/A
2-9,13863.0,N/A
2-10,13863.0,N/A
3-2,9064.0,N/A
3-3,9064.0,N/A
3-4,9064.0,N/A
3-5,9064.0,N/A
3-6,9064.0,N/A
3-7,9064.0,N/A
3-8,9064.0,N/A
3-9,9064.0,N/A
3-10,9064.0,N/A
4-1,3554.0,N/A
4-3,3554.0,N/A
4-4,3554.0,N/A
4-5,3554.0,N/A
4-6,3554.0,N/A
4-7,3554.0,N/A
4-8,3639.0,N/A
4-9,3554.0,N/A
4-10,3554.0,N/A
5-1,12841.0,N/A
5-2,12841.0,N/A
5-3,12843.0,N/A
5-5,12840.0,N/A
5-6,12840.0,N/A
5-8,12840.0,N/A
5-9,12840.0,N/A
5-10,12838.0,N/A
6-1,12260.0,N/A
6-2,12260.0,N/A
6-3,12260.0,N/A
6-4,12260.0,N/A
6-5,12260.0,N/A
6-6,12260.0,N/A
6-7,12260.0,N/A
6-8,12260.0,N/A
6-10,12260.0,N/A
