Identifier,disp,nodisp
1-1,196164.0,N/A
1-2,196164.0,N/A
1-3,196164.0,N/A
1-4,196164.0,N/A
1-5,196164.0,N/A
1-6,196164.0,N/A
1-7,196164.0,N/A
1-8,196164.0,N/A
1-9,196164.0,N/A
1-10,267092.0,N/A
2-1,437788.0,N/A
2-3,437788.0,N/A
2-4,437788.0,N/A
2-5,437788.0,N/A
2-6,437788.0,N/A
2-8,437788.0,N/A
2-9,437788.0,N/A
2-10,437788.0,N/A
3-2,186948.0,N/A
3-3,186948.0,N/A
3-4,186948.0,N/A
3-5,186948.0,N/A
3-6,186948.0,N/A
3-7,186948.0,N/A
3-8,186948.0,N/A
3-9,186948.0,N/A
3-10,186948.0,N/A
4-1,150416.0,N/A
4-3,150416.0,N/A
4-4,150416.0,N/A
4-5,150416.0,N/A
4-6,150416.0,N/A
4-7,150416.0,N/A
4-8,154100.0,N/A
4-9,150416.0,N/A
4-10,150416.0,N/A
5-1,637716.0,N/A
5-2,637716.0,N/A
5-3,637752.0,N/A
5-5,637864.0,N/A
5-6,637864.0,N/A
5-8,637864.0,N/A
5-9,637864.0,N/A
5-10,637712.0,N/A
6-1,374052.0,N/A
6-2,374052.0,N/A
6-3,374052.0,N/A
6-4,374052.0,N/A
6-5,374052.0,N/A
6-6,374052.0,N/A
6-7,374052.0,N/A
6-8,374052.0,N/A
6-10,374052.0,N/A
