Identifier,disp,nodisp
1-1,8.89,N/A
1-2,8.91,N/A
1-3,8.97,N/A
1-4,7.82,N/A
1-5,6.99,N/A
1-6,8.44,N/A
1-7,8.81,N/A
1-8,7.75,N/A
1-9,8.74,N/A
1-10,12.85,N/A
2-1,23.04,N/A
2-3,23.72,N/A
2-4,21.15,N/A
2-5,23.43,N/A
2-6,23.6,N/A
2-8,17.8,N/A
2-9,20.32,N/A
2-10,23.83,N/A
3-2,8.17,N/A
3-3,9.35,N/A
3-4,8.77,N/A
3-5,9.36,N/A
3-6,9.28,N/A
3-7,9.31,N/A
3-8,9.32,N/A
3-9,9.07,N/A
3-10,9.36,N/A
4-1,5.15,N/A
4-3,4.28,N/A
4-4,4.78,N/A
4-5,5.01,N/A
4-6,5.14,N/A
4-7,5.09,N/A
4-8,5.38,N/A
4-9,5.05,N/A
4-10,5.05,N/A
5-1,47.25,N/A
5-2,50.45,N/A
5-3,52.91,N/A
5-5,50.51,N/A
5-6,48.14,N/A
5-8,50.22,N/A
5-9,50.4,N/A
5-10,44.33,N/A
6-1,30.89,N/A
6-2,31.15,N/A
6-3,31.05,N/A
6-4,28.13,N/A
6-5,31.13,N/A
6-6,27.98,N/A
6-7,30.73,N/A
6-8,30.64,N/A
6-10,30.45,N/A
