Experiment #,Domain,EPS (Expansions per second),Subtree focus threshold ,Dispatch frontier size,Dispatch threshold ,Total number of problems solved by disp,Total number of problems solved by nodisp
1,RCLL (1 robot),10,0.125,10,0.25,3,0
2,RCLL (1 robot),25,0.125,10,0.25,25,0
3,RCLL (1 robot),50,0.125,10,0.25,28,2
4,RCLL (1 robot),100,0.125,10,0.25,46,15
5,RCLL (1 robot),200,0.125,10,0.25,56,39
6,RCLL (1 robot),300,0.125,10,0.25,59,48
7,RCLL (1 robot),500,0.125,10,0.25,66,64
8,RCLL (1 robot),1000,0.125,10,0.25,82,79
9,RCLL (1 robot),10,0.05,10,0.1,2,0
10,RCLL (1 robot),25,0.05,10,0.1,20,0
11,RCLL (1 robot),50,0.05,10,0.1,21,2
12,RCLL (1 robot),100,0.05,10,0.1,42,15
13,RCLL (1 robot),200,0.05,10,0.1,50,39
14,RCLL (1 robot),300,0.05,10,0.1,52,48
15,RCLL (1 robot),500,0.05,10,0.1,61,64
16,RCLL (1 robot),1000,0.05,10,0.1,83,79
17,RCLL (1 robot),10,0.0125,10,0.025,3,0
18,RCLL (1 robot),25,0.0125,10,0.025,19,0
19,RCLL (1 robot),50,0.0125,10,0.025,16,2
20,RCLL (1 robot),100,0.0125,10,0.025,29,15
21,RCLL (1 robot),200,0.0125,10,0.025,35,39
22,RCLL (1 robot),300,0.0125,10,0.025,54,48
23,RCLL (1 robot),500,0.0125,10,0.025,54,64
24,RCLL (1 robot),1000,0.0125,10,0.025,76,79
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,batch,EPS,subtree_focus_threshold,,
,,,10609631,10,0.125,100,0
,,,10609632,25,0.125,100,0
,,,10609633,50,0.125,100,2
,,,10609634,100,0.125,100,12
,,,10609635,200,0.125,100,25
,,,10609636,300,0.125,100,31
,,,10609637,500,0.125,100,51
,,,10609638,1000,0.125,100,69
,,,10609639,10,0.05,100,0
,,,10609640,25,0.05,100,0
,,,10609641,50,0.05,100,1
,,,10609642,100,0.05,100,9
,,,10609643,200,0.05,100,21
,,,10609644,300,0.05,100,29
,,,10609645,500,0.05,100,43
,,,10609646,1000,0.05,100,68
,,,10609647,10,0.0125,100,0
,,,10609648,25,0.0125,100,0
,,,10609649,50,0.0125,100,1
,,,10609650,100,0.0125,100,8
,,,10609651,200,0.0125,100,19
,,,10609652,300,0.0125,100,35
,,,10609653,500,0.0125,100,43
,,,10609654,1000,0.0125,100,64
