Experiment #,Domain,EPS (Expansions per second),Subtree focus threshold ,Dispatch frontier size,Dispatch threshold ,Total number of problems solved by disp,Total number of problems solved by nodisp
1,RCLL (1 robot),10,1,1,0.25,3,0
2,RCLL (1 robot),25,1,1,0.25,7,0
3,RCLL (1 robot),50,1,1,0.25,20,2
4,RCLL (1 robot),100,1,1,0.25,53,15
5,RCLL (1 robot),200,1,1,0.25,56,39
6,RCLL (1 robot),300,1,1,0.25,54,48
7,RCLL (1 robot),500,1,1,0.25,61,64
8,RCLL (1 robot),1000,1,1,0.25,77,79
9,RCLL (1 robot),10,1,1,0.1,4,0
10,RCLL (1 robot),25,1,1,0.1,8,0
11,RCLL (1 robot),50,1,1,0.1,20,2
12,RCLL (1 robot),100,1,1,0.1,47,15
13,RCLL (1 robot),200,1,1,0.1,43,39
14,RCLL (1 robot),300,1,1,0.1,43,48
15,RCLL (1 robot),500,1,1,0.1,55,64
16,RCLL (1 robot),1000,1,1,0.1,74,79
17,RCLL (1 robot),10,1,1,0.025,2,0
18,RCLL (1 robot),25,1,1,0.025,7,0
19,RCLL (1 robot),50,1,1,0.025,20,2
20,RCLL (1 robot),100,1,1,0.025,40,15
21,RCLL (1 robot),200,1,1,0.025,35,39
22,RCLL (1 robot),300,1,1,0.025,47,48
23,RCLL (1 robot),500,1,1,0.025,54,64
24,RCLL (1 robot),1000,1,1,0.025,68,79
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,batch,EPS,subtree_focus_threshold,,
,,,10609588,10,1,100,0
,,,10609589,25,1,100,0
,,,10609590,50,1,100,1
,,,10609592,100,1,100,9
,,,10609593,200,1,100,23
,,,10609594,300,1,100,31
,,,10609595,500,1,100,48
,,,10609596,1000,1,100,67
,,,10609597,10,1,100,0
,,,10609598,25,1,100,0
,,,10609599,50,1,100,2
,,,10609600,100,1,100,8
,,,10609601,200,1,100,21
,,,10609602,300,1,100,26
,,,10609603,500,1,100,41
,,,10609604,1000,1,100,63
,,,10609605,10,1,100,0
,,,10609606,25,1,100,0
,,,10609607,50,1,100,1
,,,10609608,100,1,100,7
,,,10609609,200,1,100,17
,,,10609610,300,1,100,30
,,,10609612,500,1,100,44
,,,10609613,1000,1,100,60
