Experiment #,Domain,EPS (Expansions per second),Subtree focus threshold ,Dispatch frontier size,Dispatch threshold ,Total number of problems solved by disp,Total number of problems solved by nodisp
1,turtlebot_bailout2,10,0.125,10,0.25,6,5
2,turtlebot_bailout2,25,0.125,10,0.25,4,4
3,turtlebot_bailout2,50,0.125,10,0.25,5,6
4,turtlebot_bailout2,100,0.125,10,0.25,6,6
5,turtlebot_bailout2,200,0.125,10,0.25,6,6
6,turtlebot_bailout2,300,0.125,10,0.25,6,6
7,turtlebot_bailout2,500,0.125,10,0.25,6,6
8,turtlebot_bailout2,1000,0.125,10,0.25,6,6
9,turtlebot_bailout2,10,0.05,10,0.1,6,5
10,turtlebot_bailout2,25,0.05,10,0.1,4,4
11,turtlebot_bailout2,50,0.05,10,0.1,5,6
12,turtlebot_bailout2,100,0.05,10,0.1,5,6
13,turtlebot_bailout2,200,0.05,10,0.1,6,6
14,turtlebot_bailout2,300,0.05,10,0.1,6,6
15,turtlebot_bailout2,500,0.05,10,0.1,6,6
16,turtlebot_bailout2,1000,0.05,10,0.1,6,6
17,turtlebot_bailout2,10,0.0125,10,0.025,3,5
18,turtlebot_bailout2,25,0.0125,10,0.025,4,4
19,turtlebot_bailout2,50,0.0125,10,0.025,5,6
20,turtlebot_bailout2,100,0.0125,10,0.025,4,6
21,turtlebot_bailout2,200,0.0125,10,0.025,6,6
22,turtlebot_bailout2,300,0.0125,10,0.025,6,6
23,turtlebot_bailout2,500,0.0125,10,0.025,6,6
24,turtlebot_bailout2,1000,0.0125,10,0.025,6,6
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,id,EPS,subtree_focus_threshold,dispatch_threshold,,
,,1,10,0.125,0.25,5,1
,,2,25,0.125,0.25,4,0
,,3,50,0.125,0.25,5,0
,,4,100,0.125,0.25,6,0
,,5,200,0.125,0.25,6,0
,,6,300,0.125,0.25,6,0
,,7,500,0.125,0.25,6,0
,,8,1000,0.125,0.25,6,0
,,9,10,0.05,0.1,5,1
,,10,25,0.05,0.1,4,0
,,11,50,0.05,0.1,5,0
,,12,100,0.05,0.1,5,0
,,13,200,0.05,0.1,6,0
,,14,300,0.05,0.1,6,0
,,15,500,0.05,0.1,6,0
,,16,1000,0.05,0.1,6,0
,,17,10,0.0125,0.025,2,1
,,18,25,0.0125,0.025,4,0
,,19,50,0.0125,0.025,5,0
,,20,100,0.0125,0.025,4,0
,,21,200,0.0125,0.025,6,0
,,22,300,0.0125,0.025,6,0
,,23,500,0.0125,0.025,6,0
,,24,1000,0.0125,0.025,6,0
