Experiment #,Domain,EPS (Expansions per second),Subtree focus threshold ,Dispatch frontier size,Dispatch threshold ,Total number of problems solved by disp,Total number of problems solved by nodisp
1,turtlebot_bailout2,10,1,1,0.25,4,5
2,turtlebot_bailout2,25,1,1,0.25,4,4
3,turtlebot_bailout2,50,1,1,0.25,5,6
4,turtlebot_bailout2,100,1,1,0.25,6,6
5,turtlebot_bailout2,200,1,1,0.25,6,6
6,turtlebot_bailout2,300,1,1,0.25,6,6
7,turtlebot_bailout2,500,1,1,0.25,6,6
8,turtlebot_bailout2,1000,1,1,0.25,6,6
9,turtlebot_bailout2,10,1,1,0.1,3,5
10,turtlebot_bailout2,25,1,1,0.1,4,4
11,turtlebot_bailout2,50,1,1,0.1,5,6
12,turtlebot_bailout2,100,1,1,0.1,5,6
13,turtlebot_bailout2,200,1,1,0.1,6,6
14,turtlebot_bailout2,300,1,1,0.1,6,6
15,turtlebot_bailout2,500,1,1,0.1,6,6
16,turtlebot_bailout2,1000,1,1,0.1,6,6
17,turtlebot_bailout2,10,1,1,0.025,1,5
18,turtlebot_bailout2,25,1,1,0.025,4,4
19,turtlebot_bailout2,50,1,1,0.025,4,6
20,turtlebot_bailout2,100,1,1,0.025,4,6
21,turtlebot_bailout2,200,1,1,0.025,6,6
22,turtlebot_bailout2,300,1,1,0.025,6,6
23,turtlebot_bailout2,500,1,1,0.025,6,6
24,turtlebot_bailout2,1000,1,1,0.025,6,6
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,"id,batch,EPS,dispatch",,,Total number of problems solved by disp,Total number of problems solved by nodisp
,,,"1,10608704,10,0.25",,,4,5
,,,"2,10608705,25,0.25",,,4,4
,,,"3,10608706,50,0.25",,,5,6
,,,"4,10608707,100,0.25",,,6,6
,,,"5,10608708,200,0.25",,,6,6
,,,"6,10608709,300,0.25",,,6,6
,,,"7,10608710,500,0.25",,,6,6
,,,"8,10608711,1000,0.25",,,6,6
,,,"9,10608712,10,0.1",,,3,5
,,,"10,10608713,25,0.1",,,4,4
,,,"11,10608714,50,0.1",,,5,6
,,,"12,10608715,100,0.1",,,5,6
,,,"13,10608716,200,0.1",,,6,6
,,,"14,10608717,300,0.1",,,6,6
,,,"15,10608718,500,0.1",,,6,6
,,,"16,10608719,1000,0.1",,,6,6
,,,"17,10608720,10,0.025",,,1,5
,,,"18,10608721,25,0.025",,,4,4
,,,"19,10608722,50,0.025",,,4,6
,,,"20,10608723,100,0.025",,,4,6
,,,"21,10608724,200,0.025",,,6,6
,,,"22,10608725,300,0.025",,,6,6
,,,"23,10608726,500,0.025",,,6,6
,,,"24,10608727,1000,0.025",,,6,6
